Reporte detallado item 1: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 1
Reporte detallado item 318: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 318
Reporte detallado item 319: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 319
Reporte detallado item 320: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 320
Reporte detallado item 321: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 321
Reporte detallado item 322: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 322
Reporte detallado item 323: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 323
Reporte detallado item 324: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 324
Reporte detallado item 325: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 325
Reporte detallado item 326: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 326
Reporte detallado item 327: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 327
Reporte detallado item 328: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 328
Reporte detallado item 329: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 329
Reporte detallado item 330: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 330
Reporte detallado item 331: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 331
Reporte detallado item 332: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 332
Reporte detallado item 333: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 333
Reporte detallado item 334: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 334
Reporte detallado item 335: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 335
Reporte detallado item 336: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 336
Reporte detallado item 337: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 337
Reporte detallado item 338: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 338
Reporte detallado item 339: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 339
Reporte detallado item 340: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 340
Reporte detallado item 341: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 341
Reporte detallado item 342: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 342
Reporte detallado item 343: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 343
Reporte detallado item 344: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 344
Reporte detallado item 345: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 345
Reporte detallado item 346: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 346
Reporte detallado item 347: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 347
Reporte detallado item 348: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 348
Reporte detallado item 349: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 349
Reporte detallado item 350: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 350
Reporte detallado item 351: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 351
Reporte detallado item 352: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 352
Reporte detallado item 353: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 353
Reporte detallado item 354: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 354
Reporte detallado item 355: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 355
Reporte detallado item 356: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 356
Reporte detallado item 357: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 357
Reporte detallado item 358: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 358
Reporte detallado item 359: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 359
Reporte detallado item 360: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 360
Reporte detallado item 361: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 361
Reporte detallado item 362: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 362
Reporte detallado item 363: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 363
Reporte detallado item 364: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 364
Reporte detallado item 365: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 365
Reporte detallado item 366: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 366
Reporte detallado item 367: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 367
Reporte detallado item 368: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 368
Reporte detallado item 369: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 369
Reporte detallado item 370: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 370
Reporte detallado item 371: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 371
Reporte detallado item 372: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 372
Reporte detallado item 373: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 373
Reporte detallado item 374: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 374
Reporte detallado item 375: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 375
Reporte detallado item 376: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 376
Reporte detallado item 377: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 377
Reporte detallado item 378: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 378
Reporte detallado item 379: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 379
Reporte detallado item 380: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 380
Reporte detallado item 381: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 381
Reporte detallado item 382: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 382
Reporte detallado item 383: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 383
Reporte detallado item 384: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 384
Reporte detallado item 385: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 385
Reporte detallado item 386: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 386
Reporte detallado item 387: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 387
Reporte detallado item 388: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 388
Reporte detallado item 389: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 389
Reporte detallado item 390: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 390
Reporte detallado item 391: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 391
Reporte detallado item 392: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 392
Reporte detallado item 393: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 393
Reporte detallado item 394: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 394
Reporte detallado item 395: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 395
Reporte detallado item 396: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 396
Reporte detallado item 397: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 397
Reporte detallado item 398: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 398
Reporte detallado item 399: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 399
Reporte detallado item 400: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 400
Reporte detallado item 401: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 401
Reporte detallado item 402: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 402
Reporte detallado item 403: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 403
Reporte detallado item 404: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 404
Reporte detallado item 405: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 405
Reporte detallado item 406: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 406
Reporte detallado item 407: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 407
Reporte detallado item 408: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 408
Reporte detallado item 409: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 409
Reporte detallado item 410: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 410
Reporte detallado item 411: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 411
Reporte detallado item 412: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 412
Reporte detallado item 413: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 413
Reporte detallado item 414: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 414
Reporte detallado item 415: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 415
Reporte detallado item 416: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 416
Reporte detallado item 417: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 417
Reporte detallado item 418: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 418
Reporte detallado item 419: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 419
Reporte detallado item 420: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 420
Reporte detallado item 421: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 421
Reporte detallado item 422: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 422
Reporte detallado item 423: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 423
Reporte detallado item 424: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 424
Reporte detallado item 425: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 425
Reporte detallado item 426: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 426
Reporte detallado item 427: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 427
Reporte detallado item 428: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 428
Reporte detallado item 429: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 429
Reporte detallado item 430: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 430
Reporte detallado item 431: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 431
Reporte detallado item 432: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 432
Reporte detallado item 433: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 433
Reporte detallado item 434: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 434
Reporte detallado item 435: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 435
Reporte detallado item 436: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 436
Reporte detallado item 437: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 437
Reporte detallado item 438: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 438
Reporte detallado item 439: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 439
Reporte detallado item 440: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 440
Reporte detallado item 441: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 441
Reporte detallado item 442: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 442
Reporte detallado item 443: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 443
Reporte detallado item 444: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 444
Reporte detallado item 445: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 445
Reporte detallado item 446: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 446
Reporte detallado item 447: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 447
Reporte detallado item 448: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 448
Reporte detallado item 449: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 449
Reporte detallado item 450: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 450
Reporte detallado item 451: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 451
Reporte detallado item 452: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 452
Reporte detallado item 453: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 453
Reporte detallado item 454: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 454
Reporte detallado item 455: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 455
Reporte detallado item 456: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 456
Reporte detallado item 457: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 457
Reporte detallado item 458: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 458
Reporte detallado item 459: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 459
Reporte detallado item 460: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 460
Reporte detallado item 461: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 461
Reporte detallado item 462: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 462
Reporte detallado item 463: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 463
Reporte detallado item 464: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 464
Reporte detallado item 465: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 465
Reporte detallado item 466: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 466
Reporte detallado item 467: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 467
Reporte detallado item 468: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 468
Reporte detallado item 469: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 469
Reporte detallado item 470: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 470
Reporte detallado item 471: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 471
Reporte detallado item 472: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 472
Reporte detallado item 473: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 473
Reporte detallado item 474: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 474
Reporte detallado item 475: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 475
Reporte detallado item 476: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 476
Reporte detallado item 477: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 477
Reporte detallado item 478: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 478
Reporte detallado item 479: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 479
Reporte detallado item 480: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 480
Reporte detallado item 481: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 481
Reporte detallado item 482: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 482
Reporte detallado item 483: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 483
Reporte detallado item 484: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 484
Reporte detallado item 485: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 485
Reporte detallado item 486: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 486
Reporte detallado item 487: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 487
Reporte detallado item 488: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 488
Reporte detallado item 489: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 489
Reporte detallado item 490: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 490
Reporte detallado item 491: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 491
Reporte detallado item 492: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 492
Reporte detallado item 493: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 493
Reporte detallado item 494: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 494
Reporte detallado item 495: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 495
Reporte detallado item 496: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 496
Reporte detallado item 497: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 497
Reporte detallado item 498: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 498
Reporte detallado item 499: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 499
Reporte detallado item 500: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 500
Reporte detallado item 501: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 501
Reporte detallado item 502: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 502
Reporte detallado item 503: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 503
Reporte detallado item 504: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 504
Reporte detallado item 505: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 505
Reporte detallado item 506: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 506
Reporte detallado item 507: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 507
Reporte detallado item 508: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 508
Reporte detallado item 509: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 509
Reporte detallado item 510: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 510
Reporte detallado item 511: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 511
Reporte detallado item 512: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 512
Reporte detallado item 513: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 513
Reporte detallado item 514: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 514
Reporte detallado item 515: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 515
Reporte detallado item 516: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 516
Reporte detallado item 517: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 517
Reporte detallado item 518: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 518
Reporte detallado item 519: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 519
Reporte detallado item 520: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 520
Reporte detallado item 521: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 521
Reporte detallado item 522: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 522
Reporte detallado item 523: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 523
Reporte detallado item 524: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 524
Reporte detallado item 525: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 525
Reporte detallado item 526: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 526
Reporte detallado item 527: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 527
Reporte detallado item 528: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 528
Reporte detallado item 529: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 529
Reporte detallado item 530: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 530
Reporte detallado item 531: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 531
Reporte detallado item 532: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 532
Reporte detallado item 533: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 533
Reporte detallado item 534: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 534
Reporte detallado item 535: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 535
Reporte detallado item 536: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 536
Reporte detallado item 537: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 537
Reporte detallado item 538: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 538
Reporte detallado item 539: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 539
Reporte detallado item 540: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 540
Reporte detallado item 541: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 541
Reporte detallado item 542: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 542
Reporte detallado item 543: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 543
Reporte detallado item 544: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 544
Reporte detallado item 545: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 545
Reporte detallado item 546: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 546
Reporte detallado item 547: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 547
Reporte detallado item 548: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 548
Reporte detallado item 549: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 549
Reporte detallado item 550: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 550
Reporte detallado item 551: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 551
Reporte detallado item 552: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 552
Reporte detallado item 553: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 553
Reporte detallado item 554: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 554
Reporte detallado item 555: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 555
Reporte detallado item 556: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 556
Reporte detallado item 557: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 557
Reporte detallado item 558: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 558
Reporte detallado item 559: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 559
Reporte detallado item 560: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 560
Reporte detallado item 561: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 561
Reporte detallado item 562: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 562
Reporte detallado item 563: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 563
Reporte detallado item 564: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 564
Reporte detallado item 565: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 565
Reporte detallado item 566: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 566
Reporte detallado item 567: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 567
Reporte detallado item 568: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 568
Reporte detallado item 569: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 569
Reporte detallado item 570: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 570
Reporte detallado item 571: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 571
Reporte detallado item 572: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 572
Reporte detallado item 573: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 573
Reporte detallado item 574: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 574
Reporte detallado item 575: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 575
Reporte detallado item 576: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 576
Reporte detallado item 577: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 577
Reporte detallado item 578: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 578
Reporte detallado item 579: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 579
Reporte detallado item 580: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 580
Reporte detallado item 581: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 581
Reporte detallado item 582: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 582
Reporte detallado item 583: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 583
Reporte detallado item 584: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 584
Reporte detallado item 585: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 585
Reporte detallado item 586: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 586
Reporte detallado item 587: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 587
Reporte detallado item 588: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 588
Reporte detallado item 589: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 589
Reporte detallado item 590: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 590
Reporte detallado item 591: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 591
Reporte detallado item 592: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 592
Reporte detallado item 593: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 593
Reporte detallado item 594: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 594
Reporte detallado item 595: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 595
Reporte detallado item 596: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 596
Reporte detallado item 597: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 597
Reporte detallado item 598: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 598
Reporte detallado item 599: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 599
Reporte detallado item 600: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 600
Reporte detallado item 601: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 601
Reporte detallado item 602: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 602
Reporte detallado item 603: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 603
Reporte detallado item 604: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 604
Reporte detallado item 605: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 605
Reporte detallado item 606: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 606
Reporte detallado item 607: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 607
Reporte detallado item 608: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 608
Reporte detallado item 609: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 609
Reporte detallado item 610: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 610
Reporte detallado item 611: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 611
Reporte detallado item 612: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 612
Reporte detallado item 613: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 613
Reporte detallado item 614: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 614
Reporte detallado item 615: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 615
Reporte detallado item 616: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 616
Reporte detallado item 617: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 617
Reporte detallado item 618: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 618
Reporte detallado item 619: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 619
Reporte detallado item 620: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 620
Reporte detallado item 621: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 621
Reporte detallado item 622: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 622
Reporte detallado item 623: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 623
Reporte detallado item 624: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 624
Reporte detallado item 625: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 625
Reporte detallado item 626: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 626
Reporte detallado item 627: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 627
Reporte detallado item 628: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 628
Reporte detallado item 629: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 629
Reporte detallado item 630: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 630
Reporte detallado item 631: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 631
Reporte detallado item 632: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 632
Reporte detallado item 633: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 633
Reporte detallado item 634: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 634
